From (pre-synaptic type),To (post-synaptic type)
LIII Stellate,LEC LIII Multipolar Principal
LIII Stellate,MEC LIII Multipolar Principal
LIII Stellate,LIII Pyramidal
LIII Stellate,LEC LIII Complex Pyramidal
LIII Stellate,MEC LIII Complex Pyramidal
LIII Stellate,MEC LIII Bipolar Complex Pyramidal
LIII Stellate,LIII Pyramidal-Stellate
LIII Stellate,LIII Stellate
LIII Stellate,LIII-V Bipolar Pyramidal
LIII Stellate,MEC LV Superficial Pyramidal
LIII Stellate,LEC LIII Multipolar Interneuron
LIII Stellate,MEC LIII Multipolar Interneuron
LIII Stellate,MEC LIII Superficial Multipolar Interneuron
LIII Stellate,LIII Pyramidal-Looking Interneuron
LIII Stellate,MEC LIII Superficial Trilayered Interneuron
LIII-V Bipolar Pyramidal,MEC LII-III Pyramidal-Multiform
LIII-V Bipolar Pyramidal,LII-III Pyramidal-Tripolar
LIII-V Bipolar Pyramidal,LEC LIII Multipolar Principal
LIII-V Bipolar Pyramidal,MEC LIII Multipolar Principal
LIII-V Bipolar Pyramidal,LIII Pyramidal
LIII-V Bipolar Pyramidal,LEC LIII Complex Pyramidal
LIII-V Bipolar Pyramidal,MEC LIII Complex Pyramidal
LIII-V Bipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal
LIII-V Bipolar Pyramidal,LIII Pyramidal-Stellate
LIII-V Bipolar Pyramidal,LIII Stellate
LIII-V Bipolar Pyramidal,LIII-V Bipolar Pyramidal
LIII-V Bipolar Pyramidal,LIV-V Pyramidal-Horizontal
LIII-V Bipolar Pyramidal,LIV-VI Deep Multipolar Principal
LIII-V Bipolar Pyramidal,MEC LV Multipolar-Pyramidal
LIII-V Bipolar Pyramidal,LV Deep Pyramidal
LIII-V Bipolar Pyramidal,MEC LV Pyramidal
LIII-V Bipolar Pyramidal,MEC LV Superficial Pyramidal
LIII-V Bipolar Pyramidal,MEC LV-VI Pyramidal-Polymorphic
LIII-V Bipolar Pyramidal,LEC LVI Multipolar-Pyramidal
LIII-V Bipolar Pyramidal,LEC LIII Multipolar Interneuron
LIII-V Bipolar Pyramidal,MEC LIII Multipolar Interneuron
LIII-V Bipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron
LIII-V Bipolar Pyramidal,LIII Pyramidal-Looking Interneuron
LIII-V Bipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
LIV-V Pyramidal-Horizontal,Granule
LIV-V Pyramidal-Horizontal,Hilar Ectopic Granule
LIV-V Pyramidal-Horizontal,Semilunar Granule
LIV-V Pyramidal-Horizontal,Mossy MOLDEN
LIV-V Pyramidal-Horizontal,AIPRIM
LIV-V Pyramidal-Horizontal,DG Axo-axonic
LIV-V Pyramidal-Horizontal,DG Basket
LIV-V Pyramidal-Horizontal,DG Basket CCK+
LIV-V Pyramidal-Horizontal,HICAP
LIV-V Pyramidal-Horizontal,MOLAX
LIV-V Pyramidal-Horizontal,MOPP
LIV-V Pyramidal-Horizontal,DG Neurogliaform
LIV-V Pyramidal-Horizontal,Outer Molecular Layer
LIV-V Pyramidal-Horizontal,Total Molecular Layer
LIV-V Pyramidal-Horizontal,CA1 Neurogliaform Projecting
LIV-V Pyramidal-Horizontal,LEC LIII Multipolar Principal
LIV-V Pyramidal-Horizontal,LIII-V Bipolar Pyramidal
LIV-V Pyramidal-Horizontal,LIV-V Pyramidal-Horizontal
LIV-V Pyramidal-Horizontal,LIV-VI Deep Multipolar Principal
LIV-V Pyramidal-Horizontal,MEC LV Multipolar-Pyramidal
LIV-V Pyramidal-Horizontal,LV Deep Pyramidal
LIV-V Pyramidal-Horizontal,MEC LV Pyramidal
LIV-V Pyramidal-Horizontal,MEC LV Superficial Pyramidal
LIV-V Pyramidal-Horizontal,MEC LV-VI Pyramidal-Polymorphic
LIV-V Pyramidal-Horizontal,LEC LVI Multipolar-Pyramidal
LIV-V Pyramidal-Horizontal,MEC LIII Multipolar Interneuron
LIV-VI Deep Multipolar Principal,SUB EC-Projecting Pyramidal
LIV-VI Deep Multipolar Principal,SUB CA1-Projecting Pyramidal
LIV-VI Deep Multipolar Principal,SUB Axo-axonic
LIV-VI Deep Multipolar Principal,LEC LIII Multipolar Principal
LIV-VI Deep Multipolar Principal,MEC LIII Multipolar Principal
LIV-VI Deep Multipolar Principal,LEC LIII Complex Pyramidal
LIV-VI Deep Multipolar Principal,MEC LIII Complex Pyramidal
LIV-VI Deep Multipolar Principal,LIII Pyramidal-Stellate
LIV-VI Deep Multipolar Principal,LIII-V Bipolar Pyramidal
LIV-VI Deep Multipolar Principal,LIV-V Pyramidal-Horizontal
LIV-VI Deep Multipolar Principal,LIV-VI Deep Multipolar Principal
LIV-VI Deep Multipolar Principal,MEC LV Multipolar-Pyramidal
LIV-VI Deep Multipolar Principal,LV Deep Pyramidal
LIV-VI Deep Multipolar Principal,MEC LV Pyramidal
LIV-VI Deep Multipolar Principal,MEC LV Superficial Pyramidal
LIV-VI Deep Multipolar Principal,MEC LV-VI Pyramidal-Polymorphic
LIV-VI Deep Multipolar Principal,LEC LVI Multipolar-Pyramidal
LIV-VI Deep Multipolar Principal,MEC LIII Multipolar Interneuron
LIV-VI Deep Multipolar Principal,LIII Pyramidal-Looking Interneuron
MEC LV Multipolar-Pyramidal,MEC LII-III Pyramidal-Multiform
MEC LV Multipolar-Pyramidal,LII-III Pyramidal-Tripolar
MEC LV Multipolar-Pyramidal,MEC LIII Multipolar Principal
MEC LV Multipolar-Pyramidal,LIII Pyramidal
MEC LV Multipolar-Pyramidal,MEC LIII Complex Pyramidal
MEC LV Multipolar-Pyramidal,MEC LIII Bipolar Complex Pyramidal
MEC LV Multipolar-Pyramidal,LIII Pyramidal-Stellate
MEC LV Multipolar-Pyramidal,LIII Stellate
MEC LV Multipolar-Pyramidal,LIII-V Bipolar Pyramidal
MEC LV Multipolar-Pyramidal,LIV-V Pyramidal-Horizontal
MEC LV Multipolar-Pyramidal,LIV-VI Deep Multipolar Principal
MEC LV Multipolar-Pyramidal,MEC LV Multipolar-Pyramidal
MEC LV Multipolar-Pyramidal,LV Deep Pyramidal
MEC LV Multipolar-Pyramidal,MEC LV Pyramidal
MEC LV Multipolar-Pyramidal,MEC LV Superficial Pyramidal
MEC LV Multipolar-Pyramidal,MEC LV-VI Pyramidal-Polymorphic
MEC LV Multipolar-Pyramidal,MEC LIII Multipolar Interneuron
MEC LV Multipolar-Pyramidal,MEC LIII Superficial Multipolar Interneuron
MEC LV Multipolar-Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LV Multipolar-Pyramidal,MEC LIII Superficial Trilayered Interneuron
LV Deep Pyramidal,LEC LIII Multipolar Principal
LV Deep Pyramidal,LIII-V Bipolar Pyramidal
LV Deep Pyramidal,LIV-V Pyramidal-Horizontal
LV Deep Pyramidal,LIV-VI Deep Multipolar Principal
LV Deep Pyramidal,MEC LV Multipolar-Pyramidal
LV Deep Pyramidal,LV Deep Pyramidal
LV Deep Pyramidal,MEC LV Pyramidal
LV Deep Pyramidal,MEC LV Superficial Pyramidal
LV Deep Pyramidal,MEC LV-VI Pyramidal-Polymorphic
LV Deep Pyramidal,LEC LVI Multipolar-Pyramidal
LV Deep Pyramidal,MEC LIII Multipolar Interneuron
MEC LV Pyramidal,Granule
MEC LV Pyramidal,Hilar Ectopic Granule
MEC LV Pyramidal,Semilunar Granule
MEC LV Pyramidal,Mossy MOLDEN
MEC LV Pyramidal,AIPRIM
MEC LV Pyramidal,DG Axo-axonic
MEC LV Pyramidal,DG Basket
MEC LV Pyramidal,DG Basket CCK+
MEC LV Pyramidal,HICAP
MEC LV Pyramidal,HIPROM
MEC LV Pyramidal,MOCAP
MEC LV Pyramidal,MOLAX
MEC LV Pyramidal,MOPP
MEC LV Pyramidal,DG Neurogliaform
MEC LV Pyramidal,Outer Molecular Layer
MEC LV Pyramidal,Total Molecular Layer
MEC LV Pyramidal,CA1 Neurogliaform Projecting
MEC LV Pyramidal,SUB EC-Projecting Pyramidal
MEC LV Pyramidal,SUB CA1-Projecting Pyramidal
MEC LV Pyramidal,SUB Axo-axonic
MEC LV Pyramidal,LI-II Multipolar-Pyramidal
MEC LV Pyramidal,LI-II Pyramidal-Fan
MEC LV Pyramidal,MEC LII-III Pyramidal-Multiform
MEC LV Pyramidal,MEC LII Oblique Pyramidal
MEC LV Pyramidal,MEC LII Stellate
MEC LV Pyramidal,LII-III Pyramidal-Tripolar
MEC LV Pyramidal,MEC LIII Multipolar Principal
MEC LV Pyramidal,LIII Pyramidal
MEC LV Pyramidal,MEC LIII Complex Pyramidal
MEC LV Pyramidal,MEC LIII Bipolar Complex Pyramidal
MEC LV Pyramidal,LIII Pyramidal-Stellate
MEC LV Pyramidal,LIII Stellate
MEC LV Pyramidal,LIII-V Bipolar Pyramidal
MEC LV Pyramidal,LIV-V Pyramidal-Horizontal
MEC LV Pyramidal,LIV-VI Deep Multipolar Principal
MEC LV Pyramidal,MEC LV Multipolar-Pyramidal
MEC LV Pyramidal,LV Deep Pyramidal
MEC LV Pyramidal,MEC LV Pyramidal
MEC LV Pyramidal,MEC LV Superficial Pyramidal
MEC LV Pyramidal,MEC LV-VI Pyramidal-Polymorphic
MEC LV Pyramidal,LII Axo-axonic
MEC LV Pyramidal,MEC LII Basket
MEC LV Pyramidal,LII Basket-Multipolar Interneuron
MEC LV Pyramidal,MEC LIII Multipolar Interneuron
MEC LV Pyramidal,MEC LIII Superficial Multipolar Interneuron
MEC LV Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LV Pyramidal,MEC LIII Superficial Trilayered Interneuron
MEC LV Superficial Pyramidal,LI-II Multipolar-Pyramidal
MEC LV Superficial Pyramidal,LI-II Pyramidal-Fan
MEC LV Superficial Pyramidal,MEC LII-III Pyramidal-Multiform
MEC LV Superficial Pyramidal,MEC LII Oblique Pyramidal
MEC LV Superficial Pyramidal,MEC LII Stellate
MEC LV Superficial Pyramidal,LII-III Pyramidal-Tripolar
MEC LV Superficial Pyramidal,MEC LIII Multipolar Principal
MEC LV Superficial Pyramidal,LIII Pyramidal
MEC LV Superficial Pyramidal,MEC LIII Complex Pyramidal
MEC LV Superficial Pyramidal,MEC LIII Bipolar Complex Pyramidal
MEC LV Superficial Pyramidal,LIII Pyramidal-Stellate
MEC LV Superficial Pyramidal,LIII Stellate
MEC LV Superficial Pyramidal,LIII-V Bipolar Pyramidal
MEC LV Superficial Pyramidal,LIV-V Pyramidal-Horizontal
MEC LV Superficial Pyramidal,LIV-VI Deep Multipolar Principal
MEC LV Superficial Pyramidal,MEC LV Multipolar-Pyramidal
MEC LV Superficial Pyramidal,LV Deep Pyramidal
MEC LV Superficial Pyramidal,MEC LV Pyramidal
MEC LV Superficial Pyramidal,MEC LV Superficial Pyramidal
MEC LV Superficial Pyramidal,MEC LV-VI Pyramidal-Polymorphic
MEC LV Superficial Pyramidal,LII Axo-axonic
MEC LV Superficial Pyramidal,MEC LII Basket
MEC LV Superficial Pyramidal,LII Basket-Multipolar Interneuron
MEC LV Superficial Pyramidal,MEC LIII Multipolar Interneuron
MEC LV Superficial Pyramidal,MEC LIII Superficial Multipolar Interneuron
MEC LV Superficial Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LV Superficial Pyramidal,MEC LIII Superficial Trilayered Interneuron
MEC LV-VI Pyramidal-Polymorphic,LIV-V Pyramidal-Horizontal
MEC LV-VI Pyramidal-Polymorphic,LIV-VI Deep Multipolar Principal
MEC LV-VI Pyramidal-Polymorphic,LV Deep Pyramidal
MEC LV-VI Pyramidal-Polymorphic,MEC LV-VI Pyramidal-Polymorphic
LEC LVI Multipolar-Pyramidal,LII-III Pyramidal-Tripolar
LEC LVI Multipolar-Pyramidal,LEC LIII Multipolar Principal
LEC LVI Multipolar-Pyramidal,LIII Pyramidal
LEC LVI Multipolar-Pyramidal,LEC LIII Complex Pyramidal
LEC LVI Multipolar-Pyramidal,LIII Pyramidal-Stellate
LEC LVI Multipolar-Pyramidal,LIII Stellate
LEC LVI Multipolar-Pyramidal,LIII-V Bipolar Pyramidal
LEC LVI Multipolar-Pyramidal,LIV-V Pyramidal-Horizontal
LEC LVI Multipolar-Pyramidal,LIV-VI Deep Multipolar Principal
LEC LVI Multipolar-Pyramidal,LV Deep Pyramidal
LEC LVI Multipolar-Pyramidal,LEC LVI Multipolar-Pyramidal
LEC LVI Multipolar-Pyramidal,LEC LIII Multipolar Interneuron
LEC LVI Multipolar-Pyramidal,LIII Pyramidal-Looking Interneuron
LII Axo-axonic,LI-II Multipolar-Pyramidal
LII Axo-axonic,LI-II Pyramidal-Fan
LII Axo-axonic,MEC LII-III Pyramidal-Multiform
LII Axo-axonic,MEC LII Oblique Pyramidal
LII Axo-axonic,MEC LII Stellate
LII Axo-axonic,LII-III Pyramidal-Tripolar
LII Axo-axonic,LIII Pyramidal
LII Axo-axonic,LEC LIII Complex Pyramidal
LII Axo-axonic,MEC LIII Bipolar Complex Pyramidal
LII Axo-axonic,LIII Pyramidal-Stellate
LII Axo-axonic,LIII Stellate
LII Axo-axonic,LIII-V Bipolar Pyramidal
LII Axo-axonic,LIV-V Pyramidal-Horizontal
LII Axo-axonic,LV Deep Pyramidal
LII Axo-axonic,MEC LV Pyramidal
LII Axo-axonic,LII Axo-axonic
LII Axo-axonic,MEC LII Basket
LII Axo-axonic,LII Basket-Multipolar Interneuron
LII Axo-axonic,LEC LIII Multipolar Interneuron
LII Axo-axonic,MEC LIII Superficial Multipolar Interneuron
LII Axo-axonic,LIII Pyramidal-Looking Interneuron
LII Axo-axonic,MEC LIII Superficial Trilayered Interneuron
MEC LII Basket,LI-II Multipolar-Pyramidal
MEC LII Basket,LI-II Pyramidal-Fan
MEC LII Basket,MEC LII-III Pyramidal-Multiform
MEC LII Basket,MEC LII Oblique Pyramidal
MEC LII Basket,MEC LII Stellate
MEC LII Basket,LII-III Pyramidal-Tripolar
MEC LII Basket,MEC LIII Multipolar Principal
MEC LII Basket,LIII Pyramidal
MEC LII Basket,MEC LIII Complex Pyramidal
MEC LII Basket,MEC LIII Bipolar Complex Pyramidal
MEC LII Basket,LIII Pyramidal-Stellate
MEC LII Basket,LIII Stellate
MEC LII Basket,LIII-V Bipolar Pyramidal
MEC LII Basket,LIV-V Pyramidal-Horizontal
MEC LII Basket,LV Deep Pyramidal
MEC LII Basket,MEC LV Pyramidal
MEC LII Basket,MEC LV Superficial Pyramidal
MEC LII Basket,LII Axo-axonic
MEC LII Basket,MEC LII Basket
MEC LII Basket,LII Basket-Multipolar Interneuron
MEC LII Basket,MEC LIII Multipolar Interneuron
MEC LII Basket,MEC LIII Superficial Multipolar Interneuron
MEC LII Basket,LIII Pyramidal-Looking Interneuron
MEC LII Basket,MEC LIII Superficial Trilayered Interneuron
LII Basket-Multipolar Interneuron,LI-II Multipolar-Pyramidal
LII Basket-Multipolar Interneuron,LI-II Pyramidal-Fan
LII Basket-Multipolar Interneuron,MEC LII-III Pyramidal-Multiform
LII Basket-Multipolar Interneuron,MEC LII Oblique Pyramidal
LII Basket-Multipolar Interneuron,MEC LII Stellate
LII Basket-Multipolar Interneuron,LII-III Pyramidal-Tripolar
LII Basket-Multipolar Interneuron,LIII Pyramidal
LII Basket-Multipolar Interneuron,LEC LIII Complex Pyramidal
LII Basket-Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal
LII Basket-Multipolar Interneuron,LIII Pyramidal-Stellate
LII Basket-Multipolar Interneuron,LIII Stellate
LII Basket-Multipolar Interneuron,LIII-V Bipolar Pyramidal
LII Basket-Multipolar Interneuron,LIV-V Pyramidal-Horizontal
LII Basket-Multipolar Interneuron,LV Deep Pyramidal
LII Basket-Multipolar Interneuron,MEC LV Pyramidal
LII Basket-Multipolar Interneuron,LII Axo-axonic
LII Basket-Multipolar Interneuron,MEC LII Basket
LII Basket-Multipolar Interneuron,LII Basket-Multipolar Interneuron
LII Basket-Multipolar Interneuron,LEC LIII Multipolar Interneuron
LII Basket-Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron
LII Basket-Multipolar Interneuron,LIII Pyramidal-Looking Interneuron
LII Basket-Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
LEC LIII Multipolar Interneuron,LII-III Pyramidal-Tripolar
LEC LIII Multipolar Interneuron,LEC LIII Multipolar Principal
LEC LIII Multipolar Interneuron,LIII Pyramidal
LEC LIII Multipolar Interneuron,LEC LIII Complex Pyramidal
LEC LIII Multipolar Interneuron,LIII Pyramidal-Stellate
LEC LIII Multipolar Interneuron,LIII Stellate
LEC LIII Multipolar Interneuron,LIII-V Bipolar Pyramidal
LEC LIII Multipolar Interneuron,LEC LIII Multipolar Interneuron
LEC LIII Multipolar Interneuron,LIII Pyramidal-Looking Interneuron
MEC LIII Multipolar Interneuron,LI-II Multipolar-Pyramidal
MEC LIII Multipolar Interneuron,LI-II Pyramidal-Fan
MEC LIII Multipolar Interneuron,MEC LII-III Pyramidal-Multiform
MEC LIII Multipolar Interneuron,MEC LII Oblique Pyramidal
MEC LIII Multipolar Interneuron,MEC LII Stellate
MEC LIII Multipolar Interneuron,LII-III Pyramidal-Tripolar
MEC LIII Multipolar Interneuron,MEC LIII Multipolar Principal
MEC LIII Multipolar Interneuron,LIII Pyramidal
MEC LIII Multipolar Interneuron,MEC LIII Complex Pyramidal
MEC LIII Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal
MEC LIII Multipolar Interneuron,LIII Pyramidal-Stellate
MEC LIII Multipolar Interneuron,LIII Stellate
MEC LIII Multipolar Interneuron,LIII-V Bipolar Pyramidal
MEC LIII Multipolar Interneuron,LIV-V Pyramidal-Horizontal
MEC LIII Multipolar Interneuron,LV Deep Pyramidal
MEC LIII Multipolar Interneuron,MEC LV Pyramidal
MEC LIII Multipolar Interneuron,MEC LV Superficial Pyramidal
MEC LIII Multipolar Interneuron,LII Axo-axonic
MEC LIII Multipolar Interneuron,MEC LII Basket
MEC LIII Multipolar Interneuron,LII Basket-Multipolar Interneuron
MEC LIII Multipolar Interneuron,MEC LIII Multipolar Interneuron
MEC LIII Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron
MEC LIII Multipolar Interneuron,LIII Pyramidal-Looking Interneuron
MEC LIII Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
MEC LIII Superficial Multipolar Interneuron,LI-II Multipolar-Pyramidal
MEC LIII Superficial Multipolar Interneuron,LI-II Pyramidal-Fan
MEC LIII Superficial Multipolar Interneuron,MEC LII-III Pyramidal-Multiform
MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal
MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate
MEC LIII Superficial Multipolar Interneuron,LII-III Pyramidal-Tripolar
MEC LIII Superficial Multipolar Interneuron,MEC LIII Multipolar Principal
MEC LIII Superficial Multipolar Interneuron,LIII Pyramidal
MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal
MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal
MEC LIII Superficial Multipolar Interneuron,LIII Pyramidal-Stellate
MEC LIII Superficial Multipolar Interneuron,LIII Stellate
MEC LIII Superficial Multipolar Interneuron,LIII-V Bipolar Pyramidal
MEC LIII Superficial Multipolar Interneuron,LIV-V Pyramidal-Horizontal
MEC LIII Superficial Multipolar Interneuron,LV Deep Pyramidal
MEC LIII Superficial Multipolar Interneuron,MEC LV Pyramidal
MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal
MEC LIII Superficial Multipolar Interneuron,LII Axo-axonic
MEC LIII Superficial Multipolar Interneuron,MEC LII Basket
MEC LIII Superficial Multipolar Interneuron,LII Basket-Multipolar Interneuron
MEC LIII Superficial Multipolar Interneuron,MEC LIII Multipolar Interneuron
MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Multipolar Interneuron
MEC LIII Superficial Multipolar Interneuron,LIII Pyramidal-Looking Interneuron
MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
LIII Pyramidal-Looking Interneuron,MEC LII-III Pyramidal-Multiform
LIII Pyramidal-Looking Interneuron,LII-III Pyramidal-Tripolar
LIII Pyramidal-Looking Interneuron,LEC LIII Multipolar Principal
LIII Pyramidal-Looking Interneuron,MEC LIII Multipolar Principal
LIII Pyramidal-Looking Interneuron,LIII Pyramidal
LIII Pyramidal-Looking Interneuron,LEC LIII Complex Pyramidal
LIII Pyramidal-Looking Interneuron,MEC LIII Complex Pyramidal
LIII Pyramidal-Looking Interneuron,MEC LIII Bipolar Complex Pyramidal
LIII Pyramidal-Looking Interneuron,LIII Pyramidal-Stellate
LIII Pyramidal-Looking Interneuron,LIII Stellate
LIII Pyramidal-Looking Interneuron,LIII-V Bipolar Pyramidal
LIII Pyramidal-Looking Interneuron,LIV-V Pyramidal-Horizontal
LIII Pyramidal-Looking Interneuron,LIV-VI Deep Multipolar Principal
LIII Pyramidal-Looking Interneuron,MEC LV Multipolar-Pyramidal
LIII Pyramidal-Looking Interneuron,MEC LV Superficial Pyramidal
LIII Pyramidal-Looking Interneuron,LEC LIII Multipolar Interneuron
LIII Pyramidal-Looking Interneuron,MEC LIII Multipolar Interneuron
LIII Pyramidal-Looking Interneuron,MEC LIII Superficial Multipolar Interneuron
LIII Pyramidal-Looking Interneuron,LIII Pyramidal-Looking Interneuron
LIII Pyramidal-Looking Interneuron,MEC LIII Superficial Trilayered Interneuron
MEC LIII Superficial Trilayered Interneuron,LI-II Multipolar-Pyramidal
MEC LIII Superficial Trilayered Interneuron,LI-II Pyramidal-Fan
MEC LIII Superficial Trilayered Interneuron,MEC LII-III Pyramidal-Multiform
MEC LIII Superficial Trilayered Interneuron,MEC LII Oblique Pyramidal
MEC LIII Superficial Trilayered Interneuron,MEC LII Stellate
MEC LIII Superficial Trilayered Interneuron,LII-III Pyramidal-Tripolar
MEC LIII Superficial Trilayered Interneuron,MEC LIII Multipolar Principal
MEC LIII Superficial Trilayered Interneuron,LIII Pyramidal
MEC LIII Superficial Trilayered Interneuron,MEC LIII Complex Pyramidal
MEC LIII Superficial Trilayered Interneuron,MEC LIII Bipolar Complex Pyramidal
MEC LIII Superficial Trilayered Interneuron,LIII Pyramidal-Stellate
MEC LIII Superficial Trilayered Interneuron,LIII Stellate
MEC LIII Superficial Trilayered Interneuron,LIII-V Bipolar Pyramidal
MEC LIII Superficial Trilayered Interneuron,LIV-V Pyramidal-Horizontal
MEC LIII Superficial Trilayered Interneuron,LV Deep Pyramidal
MEC LIII Superficial Trilayered Interneuron,MEC LV Pyramidal
MEC LIII Superficial Trilayered Interneuron,MEC LV Superficial Pyramidal
MEC LIII Superficial Trilayered Interneuron,LII Axo-axonic
MEC LIII Superficial Trilayered Interneuron,MEC LII Basket
MEC LIII Superficial Trilayered Interneuron,LII Basket-Multipolar Interneuron
MEC LIII Superficial Trilayered Interneuron,MEC LIII Multipolar Interneuron
MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron
MEC LIII Superficial Trilayered Interneuron,LIII Pyramidal-Looking Interneuron
MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Trilayered Interneuron
