evidence_ID,property_ID,source_id,target_id,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
30450,NULL,2043,2000,2000021,30449,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30149,NULL,2045,2000,1002020,30148,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30215,NULL,2045,2000,1003509,30214,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30315,NULL,2045,2000,1006012,30314,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30316,NULL,2045,2000,1006014,30315,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30215,NULL,2045,2043,1003509,30214,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30013,NULL,2046,2000,1000498,30012,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30246,NULL,2046,2000,1003693,30245,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30324,NULL,2046,2001,1006034,30323,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30325,NULL,2036,2001,1006036,30324,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30212,NULL,2035,2000,1003409,30211,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30214,NULL,2009,2000,1003506,30213,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30219,NULL,2009,2000,1003521,30218,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30539,NULL,2009,2000,2000063,30538,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30146,NULL,2049,2000,1002017,30145,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30357,NULL,2023,2000,1007130,30356,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30359,NULL,2023,2000,1007132,30358,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30546,NULL,3000,4078,2000068,30545,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30551,NULL,3000,4078,2000069,30550,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30546,NULL,3000,4080,2000068,30545,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30551,NULL,3000,4080,2000069,30550,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
